# file...... 
# date...... Mon May 04 15:52:52 2015
# user...... mafoti
# host...... (null)
# target.... auction 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,period
2001-06-25 14:00:00 PDT,+900
2001-06-25 14:00:01 PDT,+900
2001-06-25 14:00:02 PDT,+900
2001-06-25 14:00:03 PDT,+900
2001-06-25 14:00:04 PDT,+900
2001-06-25 14:00:05 PDT,+900
2001-06-25 14:00:06 PDT,+900
2001-06-25 14:00:07 PDT,+900
2001-06-25 14:00:08 PDT,+900
2001-06-25 14:00:09 PDT,+900
2001-06-25 14:00:10 PDT,+900
2001-06-25 14:00:11 PDT,+900
2001-06-25 14:00:12 PDT,+900
2001-06-25 14:00:13 PDT,+900
2001-06-25 14:00:14 PDT,+900
2001-06-25 14:00:15 PDT,+900
2001-06-25 14:00:16 PDT,+900
2001-06-25 14:00:17 PDT,+900
2001-06-25 14:00:18 PDT,+900
2001-06-25 14:00:19 PDT,+900
2001-06-25 14:00:20 PDT,+900
2001-06-25 14:00:21 PDT,+900
2001-06-25 14:00:22 PDT,+900
2001-06-25 14:00:23 PDT,+900
2001-06-25 14:00:24 PDT,+900
2001-06-25 14:00:25 PDT,+900
2001-06-25 14:00:26 PDT,+900
2001-06-25 14:00:27 PDT,+900
2001-06-25 14:00:28 PDT,+900
2001-06-25 14:00:29 PDT,+900
2001-06-25 14:00:30 PDT,+900
2001-06-25 14:00:31 PDT,+900
2001-06-25 14:00:32 PDT,+900
2001-06-25 14:00:33 PDT,+900
2001-06-25 14:00:34 PDT,+900
2001-06-25 14:00:35 PDT,+900
2001-06-25 14:00:36 PDT,+900
2001-06-25 14:00:37 PDT,+900
2001-06-25 14:00:38 PDT,+900
2001-06-25 14:00:39 PDT,+900
2001-06-25 14:00:40 PDT,+900
2001-06-25 14:00:41 PDT,+900
2001-06-25 14:00:42 PDT,+900
2001-06-25 14:00:43 PDT,+900
2001-06-25 14:00:44 PDT,+900
2001-06-25 14:00:45 PDT,+900
2001-06-25 14:00:46 PDT,+900
2001-06-25 14:00:47 PDT,+900
2001-06-25 14:00:48 PDT,+900
2001-06-25 14:00:49 PDT,+900
2001-06-25 14:00:50 PDT,+900
2001-06-25 14:00:51 PDT,+900
2001-06-25 14:00:52 PDT,+900
2001-06-25 14:00:53 PDT,+900
2001-06-25 14:00:54 PDT,+900
2001-06-25 14:00:55 PDT,+900
2001-06-25 14:00:56 PDT,+900
2001-06-25 14:00:57 PDT,+900
2001-06-25 14:00:58 PDT,+900
2001-06-25 14:00:59 PDT,+900
2001-06-25 14:01:00 PDT,+900
2001-06-25 14:01:01 PDT,+900
2001-06-25 14:01:02 PDT,+900
2001-06-25 14:01:03 PDT,+900
2001-06-25 14:01:04 PDT,+900
2001-06-25 14:01:05 PDT,+900
2001-06-25 14:01:06 PDT,+900
2001-06-25 14:01:07 PDT,+900
2001-06-25 14:01:08 PDT,+900
2001-06-25 14:01:09 PDT,+900
2001-06-25 14:01:10 PDT,+900
2001-06-25 14:01:11 PDT,+900
2001-06-25 14:01:12 PDT,+900
2001-06-25 14:01:13 PDT,+900
2001-06-25 14:01:14 PDT,+900
2001-06-25 14:01:15 PDT,+900
2001-06-25 14:01:16 PDT,+900
2001-06-25 14:01:17 PDT,+900
2001-06-25 14:01:18 PDT,+900
2001-06-25 14:01:19 PDT,+900
2001-06-25 14:01:20 PDT,+900
2001-06-25 14:01:21 PDT,+900
2001-06-25 14:01:22 PDT,+900
2001-06-25 14:01:23 PDT,+900
2001-06-25 14:01:24 PDT,+900
2001-06-25 14:01:25 PDT,+900
2001-06-25 14:01:26 PDT,+900
2001-06-25 14:01:27 PDT,+900
2001-06-25 14:01:28 PDT,+900
2001-06-25 14:01:29 PDT,+900
2001-06-25 14:01:30 PDT,+900
2001-06-25 14:01:31 PDT,+900
2001-06-25 14:01:32 PDT,+900
2001-06-25 14:01:33 PDT,+900
2001-06-25 14:01:34 PDT,+900
2001-06-25 14:01:35 PDT,+900
2001-06-25 14:01:36 PDT,+900
2001-06-25 14:01:37 PDT,+900
2001-06-25 14:01:38 PDT,+900
2001-06-25 14:01:39 PDT,+900
2001-06-25 14:01:40 PDT,+900
2001-06-25 14:01:41 PDT,+900
2001-06-25 14:01:42 PDT,+900
2001-06-25 14:01:43 PDT,+900
2001-06-25 14:01:44 PDT,+900
2001-06-25 14:01:45 PDT,+900
2001-06-25 14:01:46 PDT,+900
2001-06-25 14:01:47 PDT,+900
2001-06-25 14:01:48 PDT,+900
2001-06-25 14:01:49 PDT,+900
2001-06-25 14:01:50 PDT,+900
2001-06-25 14:01:51 PDT,+900
2001-06-25 14:01:52 PDT,+900
2001-06-25 14:01:53 PDT,+900
2001-06-25 14:01:54 PDT,+900
2001-06-25 14:01:55 PDT,+900
2001-06-25 14:01:56 PDT,+900
2001-06-25 14:01:57 PDT,+900
2001-06-25 14:01:58 PDT,+900
2001-06-25 14:01:59 PDT,+900
2001-06-25 14:02:00 PDT,+900
2001-06-25 14:02:01 PDT,+900
2001-06-25 14:02:02 PDT,+900
2001-06-25 14:02:03 PDT,+900
2001-06-25 14:02:04 PDT,+900
2001-06-25 14:02:05 PDT,+900
2001-06-25 14:02:06 PDT,+900
2001-06-25 14:02:07 PDT,+900
2001-06-25 14:02:08 PDT,+900
2001-06-25 14:02:09 PDT,+900
2001-06-25 14:02:10 PDT,+900
2001-06-25 14:02:11 PDT,+900
2001-06-25 14:02:12 PDT,+900
2001-06-25 14:02:13 PDT,+900
2001-06-25 14:02:14 PDT,+900
2001-06-25 14:02:15 PDT,+900
2001-06-25 14:02:16 PDT,+900
2001-06-25 14:02:17 PDT,+900
2001-06-25 14:02:18 PDT,+900
2001-06-25 14:02:19 PDT,+900
2001-06-25 14:02:20 PDT,+900
2001-06-25 14:02:21 PDT,+900
2001-06-25 14:02:22 PDT,+900
2001-06-25 14:02:23 PDT,+900
2001-06-25 14:02:24 PDT,+900
2001-06-25 14:02:25 PDT,+900
2001-06-25 14:02:26 PDT,+900
2001-06-25 14:02:27 PDT,+900
2001-06-25 14:02:28 PDT,+900
2001-06-25 14:02:29 PDT,+900
2001-06-25 14:02:30 PDT,+900
2001-06-25 14:02:31 PDT,+900
2001-06-25 14:02:32 PDT,+900
2001-06-25 14:02:33 PDT,+900
2001-06-25 14:02:34 PDT,+900
2001-06-25 14:02:35 PDT,+900
2001-06-25 14:02:36 PDT,+900
2001-06-25 14:02:37 PDT,+900
2001-06-25 14:02:38 PDT,+900
2001-06-25 14:02:39 PDT,+900
2001-06-25 14:02:40 PDT,+900
2001-06-25 14:02:41 PDT,+900
2001-06-25 14:02:42 PDT,+900
2001-06-25 14:02:43 PDT,+900
2001-06-25 14:02:44 PDT,+900
2001-06-25 14:02:45 PDT,+900
2001-06-25 14:02:46 PDT,+900
2001-06-25 14:02:47 PDT,+900
2001-06-25 14:02:48 PDT,+900
2001-06-25 14:02:49 PDT,+900
2001-06-25 14:02:50 PDT,+900
2001-06-25 14:02:51 PDT,+900
2001-06-25 14:02:52 PDT,+900
2001-06-25 14:02:53 PDT,+900
2001-06-25 14:02:54 PDT,+900
2001-06-25 14:02:55 PDT,+900
2001-06-25 14:02:56 PDT,+900
2001-06-25 14:02:57 PDT,+900
2001-06-25 14:02:58 PDT,+900
2001-06-25 14:02:59 PDT,+900
2001-06-25 14:03:00 PDT,+900
2001-06-25 14:03:01 PDT,+900
2001-06-25 14:03:02 PDT,+900
2001-06-25 14:03:03 PDT,+900
2001-06-25 14:03:04 PDT,+900
2001-06-25 14:03:05 PDT,+900
2001-06-25 14:03:06 PDT,+900
2001-06-25 14:03:07 PDT,+900
2001-06-25 14:03:08 PDT,+900
2001-06-25 14:03:09 PDT,+900
2001-06-25 14:03:10 PDT,+900
2001-06-25 14:03:11 PDT,+900
2001-06-25 14:03:12 PDT,+900
2001-06-25 14:03:13 PDT,+900
2001-06-25 14:03:14 PDT,+900
2001-06-25 14:03:15 PDT,+900
2001-06-25 14:03:16 PDT,+900
2001-06-25 14:03:17 PDT,+900
2001-06-25 14:03:18 PDT,+900
2001-06-25 14:03:19 PDT,+900
2001-06-25 14:03:20 PDT,+900
2001-06-25 14:03:21 PDT,+900
2001-06-25 14:03:22 PDT,+900
2001-06-25 14:03:23 PDT,+900
2001-06-25 14:03:24 PDT,+900
2001-06-25 14:03:25 PDT,+900
2001-06-25 14:03:26 PDT,+900
2001-06-25 14:03:27 PDT,+900
2001-06-25 14:03:28 PDT,+900
2001-06-25 14:03:29 PDT,+900
2001-06-25 14:03:30 PDT,+900
2001-06-25 14:03:31 PDT,+900
2001-06-25 14:03:32 PDT,+900
2001-06-25 14:03:33 PDT,+900
2001-06-25 14:03:34 PDT,+900
2001-06-25 14:03:35 PDT,+900
2001-06-25 14:03:36 PDT,+900
2001-06-25 14:03:37 PDT,+900
2001-06-25 14:03:38 PDT,+900
2001-06-25 14:03:39 PDT,+900
2001-06-25 14:03:40 PDT,+900
2001-06-25 14:03:41 PDT,+900
2001-06-25 14:03:42 PDT,+900
2001-06-25 14:03:43 PDT,+900
2001-06-25 14:03:44 PDT,+900
2001-06-25 14:03:45 PDT,+900
2001-06-25 14:03:46 PDT,+900
2001-06-25 14:03:47 PDT,+900
2001-06-25 14:03:48 PDT,+900
2001-06-25 14:03:49 PDT,+900
2001-06-25 14:03:50 PDT,+900
2001-06-25 14:03:51 PDT,+900
2001-06-25 14:03:52 PDT,+900
2001-06-25 14:03:53 PDT,+900
2001-06-25 14:03:54 PDT,+900
2001-06-25 14:03:55 PDT,+900
2001-06-25 14:03:56 PDT,+900
2001-06-25 14:03:57 PDT,+900
2001-06-25 14:03:58 PDT,+900
2001-06-25 14:03:59 PDT,+900
2001-06-25 14:04:00 PDT,+900
2001-06-25 14:04:01 PDT,+900
2001-06-25 14:04:02 PDT,+900
2001-06-25 14:04:03 PDT,+900
2001-06-25 14:04:04 PDT,+900
2001-06-25 14:04:05 PDT,+900
2001-06-25 14:04:06 PDT,+900
2001-06-25 14:04:07 PDT,+900
2001-06-25 14:04:08 PDT,+900
2001-06-25 14:04:09 PDT,+900
2001-06-25 14:04:10 PDT,+900
2001-06-25 14:04:11 PDT,+900
2001-06-25 14:04:12 PDT,+900
2001-06-25 14:04:13 PDT,+900
2001-06-25 14:04:14 PDT,+900
2001-06-25 14:04:15 PDT,+900
2001-06-25 14:04:16 PDT,+900
2001-06-25 14:04:17 PDT,+900
2001-06-25 14:04:18 PDT,+900
2001-06-25 14:04:19 PDT,+900
2001-06-25 14:04:20 PDT,+900
2001-06-25 14:04:21 PDT,+900
2001-06-25 14:04:22 PDT,+900
2001-06-25 14:04:23 PDT,+900
2001-06-25 14:04:24 PDT,+900
2001-06-25 14:04:25 PDT,+900
2001-06-25 14:04:26 PDT,+900
2001-06-25 14:04:27 PDT,+900
2001-06-25 14:04:28 PDT,+900
2001-06-25 14:04:29 PDT,+900
2001-06-25 14:04:30 PDT,+900
2001-06-25 14:04:31 PDT,+900
2001-06-25 14:04:32 PDT,+900
2001-06-25 14:04:33 PDT,+900
2001-06-25 14:04:34 PDT,+900
2001-06-25 14:04:35 PDT,+900
2001-06-25 14:04:36 PDT,+900
2001-06-25 14:04:37 PDT,+900
2001-06-25 14:04:38 PDT,+900
2001-06-25 14:04:39 PDT,+900
2001-06-25 14:04:40 PDT,+900
2001-06-25 14:04:41 PDT,+900
2001-06-25 14:04:42 PDT,+900
2001-06-25 14:04:43 PDT,+900
2001-06-25 14:04:44 PDT,+900
2001-06-25 14:04:45 PDT,+900
2001-06-25 14:04:46 PDT,+900
2001-06-25 14:04:47 PDT,+900
2001-06-25 14:04:48 PDT,+900
2001-06-25 14:04:49 PDT,+900
2001-06-25 14:04:50 PDT,+900
2001-06-25 14:04:51 PDT,+900
2001-06-25 14:04:52 PDT,+900
2001-06-25 14:04:53 PDT,+900
2001-06-25 14:04:54 PDT,+900
2001-06-25 14:04:55 PDT,+900
2001-06-25 14:04:56 PDT,+900
2001-06-25 14:04:57 PDT,+900
2001-06-25 14:04:58 PDT,+900
2001-06-25 14:04:59 PDT,+900
2001-06-25 14:05:00 PDT,+900
2001-06-25 14:05:01 PDT,+900
2001-06-25 14:05:02 PDT,+900
2001-06-25 14:05:03 PDT,+900
2001-06-25 14:05:04 PDT,+900
2001-06-25 14:05:05 PDT,+900
2001-06-25 14:05:06 PDT,+900
2001-06-25 14:05:07 PDT,+900
2001-06-25 14:05:08 PDT,+900
2001-06-25 14:05:09 PDT,+900
2001-06-25 14:05:10 PDT,+900
2001-06-25 14:05:11 PDT,+900
2001-06-25 14:05:12 PDT,+900
2001-06-25 14:05:13 PDT,+900
2001-06-25 14:05:14 PDT,+900
2001-06-25 14:05:15 PDT,+900
2001-06-25 14:05:16 PDT,+900
2001-06-25 14:05:17 PDT,+900
2001-06-25 14:05:18 PDT,+900
2001-06-25 14:05:19 PDT,+900
2001-06-25 14:05:20 PDT,+900
2001-06-25 14:05:21 PDT,+900
2001-06-25 14:05:22 PDT,+900
2001-06-25 14:05:23 PDT,+900
2001-06-25 14:05:24 PDT,+900
2001-06-25 14:05:25 PDT,+900
2001-06-25 14:05:26 PDT,+900
2001-06-25 14:05:27 PDT,+900
2001-06-25 14:05:28 PDT,+900
2001-06-25 14:05:29 PDT,+900
2001-06-25 14:05:30 PDT,+900
2001-06-25 14:05:31 PDT,+900
2001-06-25 14:05:32 PDT,+900
2001-06-25 14:05:33 PDT,+900
2001-06-25 14:05:34 PDT,+900
2001-06-25 14:05:35 PDT,+900
2001-06-25 14:05:36 PDT,+900
2001-06-25 14:05:37 PDT,+900
2001-06-25 14:05:38 PDT,+900
2001-06-25 14:05:39 PDT,+900
2001-06-25 14:05:40 PDT,+900
2001-06-25 14:05:41 PDT,+900
2001-06-25 14:05:42 PDT,+900
2001-06-25 14:05:43 PDT,+900
2001-06-25 14:05:44 PDT,+900
2001-06-25 14:05:45 PDT,+900
2001-06-25 14:05:46 PDT,+900
2001-06-25 14:05:47 PDT,+900
2001-06-25 14:05:48 PDT,+900
2001-06-25 14:05:49 PDT,+900
2001-06-25 14:05:50 PDT,+900
2001-06-25 14:05:51 PDT,+900
2001-06-25 14:05:52 PDT,+900
2001-06-25 14:05:53 PDT,+900
2001-06-25 14:05:54 PDT,+900
2001-06-25 14:05:55 PDT,+900
2001-06-25 14:05:56 PDT,+900
2001-06-25 14:05:57 PDT,+900
2001-06-25 14:05:58 PDT,+900
2001-06-25 14:05:59 PDT,+900
2001-06-25 14:06:00 PDT,+900
2001-06-25 14:06:01 PDT,+900
2001-06-25 14:06:02 PDT,+900
2001-06-25 14:06:03 PDT,+900
2001-06-25 14:06:04 PDT,+900
2001-06-25 14:06:05 PDT,+900
2001-06-25 14:06:06 PDT,+900
2001-06-25 14:06:07 PDT,+900
2001-06-25 14:06:08 PDT,+900
2001-06-25 14:06:09 PDT,+900
2001-06-25 14:06:10 PDT,+900
2001-06-25 14:06:11 PDT,+900
2001-06-25 14:06:12 PDT,+900
2001-06-25 14:06:13 PDT,+900
2001-06-25 14:06:14 PDT,+900
2001-06-25 14:06:15 PDT,+900
2001-06-25 14:06:16 PDT,+900
2001-06-25 14:06:17 PDT,+900
2001-06-25 14:06:18 PDT,+900
2001-06-25 14:06:19 PDT,+900
2001-06-25 14:06:20 PDT,+900
2001-06-25 14:06:21 PDT,+900
2001-06-25 14:06:22 PDT,+900
2001-06-25 14:06:23 PDT,+900
2001-06-25 14:06:24 PDT,+900
2001-06-25 14:06:25 PDT,+900
2001-06-25 14:06:26 PDT,+900
2001-06-25 14:06:27 PDT,+900
2001-06-25 14:06:28 PDT,+900
2001-06-25 14:06:29 PDT,+900
2001-06-25 14:06:30 PDT,+900
2001-06-25 14:06:31 PDT,+900
2001-06-25 14:06:32 PDT,+900
2001-06-25 14:06:33 PDT,+900
2001-06-25 14:06:34 PDT,+900
2001-06-25 14:06:35 PDT,+900
2001-06-25 14:06:36 PDT,+900
2001-06-25 14:06:37 PDT,+900
2001-06-25 14:06:38 PDT,+900
2001-06-25 14:06:39 PDT,+900
2001-06-25 14:06:40 PDT,+900
2001-06-25 14:06:41 PDT,+900
2001-06-25 14:06:42 PDT,+900
2001-06-25 14:06:43 PDT,+900
2001-06-25 14:06:44 PDT,+900
2001-06-25 14:06:45 PDT,+900
2001-06-25 14:06:46 PDT,+900
2001-06-25 14:06:47 PDT,+900
2001-06-25 14:06:48 PDT,+900
2001-06-25 14:06:49 PDT,+900
2001-06-25 14:06:50 PDT,+900
2001-06-25 14:06:51 PDT,+900
2001-06-25 14:06:52 PDT,+900
2001-06-25 14:06:53 PDT,+900
2001-06-25 14:06:54 PDT,+900
2001-06-25 14:06:55 PDT,+900
2001-06-25 14:06:56 PDT,+900
2001-06-25 14:06:57 PDT,+900
2001-06-25 14:06:58 PDT,+900
2001-06-25 14:06:59 PDT,+900
2001-06-25 14:07:00 PDT,+900
2001-06-25 14:07:01 PDT,+900
2001-06-25 14:07:02 PDT,+900
2001-06-25 14:07:03 PDT,+900
2001-06-25 14:07:04 PDT,+900
2001-06-25 14:07:05 PDT,+900
2001-06-25 14:07:06 PDT,+900
2001-06-25 14:07:07 PDT,+900
2001-06-25 14:07:08 PDT,+900
2001-06-25 14:07:09 PDT,+900
2001-06-25 14:07:10 PDT,+900
2001-06-25 14:07:11 PDT,+900
2001-06-25 14:07:12 PDT,+900
2001-06-25 14:07:13 PDT,+900
2001-06-25 14:07:14 PDT,+900
2001-06-25 14:07:15 PDT,+900
2001-06-25 14:07:16 PDT,+900
2001-06-25 14:07:17 PDT,+900
2001-06-25 14:07:18 PDT,+900
2001-06-25 14:07:19 PDT,+900
2001-06-25 14:07:20 PDT,+900
2001-06-25 14:07:21 PDT,+900
2001-06-25 14:07:22 PDT,+900
2001-06-25 14:07:23 PDT,+900
2001-06-25 14:07:24 PDT,+900
2001-06-25 14:07:25 PDT,+900
2001-06-25 14:07:26 PDT,+900
2001-06-25 14:07:27 PDT,+900
2001-06-25 14:07:28 PDT,+900
2001-06-25 14:07:29 PDT,+900
2001-06-25 14:07:30 PDT,+900
2001-06-25 14:07:31 PDT,+900
2001-06-25 14:07:32 PDT,+900
2001-06-25 14:07:33 PDT,+900
2001-06-25 14:07:34 PDT,+900
2001-06-25 14:07:35 PDT,+900
2001-06-25 14:07:36 PDT,+900
2001-06-25 14:07:37 PDT,+900
2001-06-25 14:07:38 PDT,+900
2001-06-25 14:07:39 PDT,+900
2001-06-25 14:07:40 PDT,+900
2001-06-25 14:07:41 PDT,+900
2001-06-25 14:07:42 PDT,+900
2001-06-25 14:07:43 PDT,+900
2001-06-25 14:07:44 PDT,+900
2001-06-25 14:07:45 PDT,+900
2001-06-25 14:07:46 PDT,+900
2001-06-25 14:07:47 PDT,+900
2001-06-25 14:07:48 PDT,+900
2001-06-25 14:07:49 PDT,+900
2001-06-25 14:07:50 PDT,+900
2001-06-25 14:07:51 PDT,+900
2001-06-25 14:07:52 PDT,+900
2001-06-25 14:07:53 PDT,+900
2001-06-25 14:07:54 PDT,+900
2001-06-25 14:07:55 PDT,+900
2001-06-25 14:07:56 PDT,+900
2001-06-25 14:07:57 PDT,+900
2001-06-25 14:07:58 PDT,+900
2001-06-25 14:07:59 PDT,+900
2001-06-25 14:08:00 PDT,+900
2001-06-25 14:08:01 PDT,+900
2001-06-25 14:08:02 PDT,+900
2001-06-25 14:08:03 PDT,+900
2001-06-25 14:08:04 PDT,+900
2001-06-25 14:08:05 PDT,+900
2001-06-25 14:08:06 PDT,+900
2001-06-25 14:08:07 PDT,+900
2001-06-25 14:08:08 PDT,+900
2001-06-25 14:08:09 PDT,+900
2001-06-25 14:08:10 PDT,+900
2001-06-25 14:08:11 PDT,+900
2001-06-25 14:08:12 PDT,+900
2001-06-25 14:08:13 PDT,+900
2001-06-25 14:08:14 PDT,+900
2001-06-25 14:08:15 PDT,+900
2001-06-25 14:08:16 PDT,+900
2001-06-25 14:08:17 PDT,+900
2001-06-25 14:08:18 PDT,+900
2001-06-25 14:08:19 PDT,+900
2001-06-25 14:08:20 PDT,+900
2001-06-25 14:08:21 PDT,+900
2001-06-25 14:08:22 PDT,+900
2001-06-25 14:08:23 PDT,+900
2001-06-25 14:08:24 PDT,+900
2001-06-25 14:08:25 PDT,+900
2001-06-25 14:08:26 PDT,+900
2001-06-25 14:08:27 PDT,+900
2001-06-25 14:08:28 PDT,+900
2001-06-25 14:08:29 PDT,+900
2001-06-25 14:08:30 PDT,+900
2001-06-25 14:08:31 PDT,+900
2001-06-25 14:08:32 PDT,+900
2001-06-25 14:08:33 PDT,+900
2001-06-25 14:08:34 PDT,+900
2001-06-25 14:08:35 PDT,+900
2001-06-25 14:08:36 PDT,+900
2001-06-25 14:08:37 PDT,+900
2001-06-25 14:08:38 PDT,+900
2001-06-25 14:08:39 PDT,+900
2001-06-25 14:08:40 PDT,+900
2001-06-25 14:08:41 PDT,+900
2001-06-25 14:08:42 PDT,+900
2001-06-25 14:08:43 PDT,+900
2001-06-25 14:08:44 PDT,+900
2001-06-25 14:08:45 PDT,+900
2001-06-25 14:08:46 PDT,+900
2001-06-25 14:08:47 PDT,+900
2001-06-25 14:08:48 PDT,+900
2001-06-25 14:08:49 PDT,+900
2001-06-25 14:08:50 PDT,+900
2001-06-25 14:08:51 PDT,+900
2001-06-25 14:08:52 PDT,+900
2001-06-25 14:08:53 PDT,+900
2001-06-25 14:08:54 PDT,+900
2001-06-25 14:08:55 PDT,+900
2001-06-25 14:08:56 PDT,+900
2001-06-25 14:08:57 PDT,+900
2001-06-25 14:08:58 PDT,+900
2001-06-25 14:08:59 PDT,+900
2001-06-25 14:09:00 PDT,+900
2001-06-25 14:09:01 PDT,+900
2001-06-25 14:09:02 PDT,+900
2001-06-25 14:09:03 PDT,+900
2001-06-25 14:09:04 PDT,+900
2001-06-25 14:09:05 PDT,+900
2001-06-25 14:09:06 PDT,+900
2001-06-25 14:09:07 PDT,+900
2001-06-25 14:09:08 PDT,+900
2001-06-25 14:09:09 PDT,+900
2001-06-25 14:09:10 PDT,+900
2001-06-25 14:09:11 PDT,+900
2001-06-25 14:09:12 PDT,+900
2001-06-25 14:09:13 PDT,+900
2001-06-25 14:09:14 PDT,+900
2001-06-25 14:09:15 PDT,+900
2001-06-25 14:09:16 PDT,+900
2001-06-25 14:09:17 PDT,+900
2001-06-25 14:09:18 PDT,+900
2001-06-25 14:09:19 PDT,+900
2001-06-25 14:09:20 PDT,+900
2001-06-25 14:09:21 PDT,+900
2001-06-25 14:09:22 PDT,+900
2001-06-25 14:09:23 PDT,+900
2001-06-25 14:09:24 PDT,+900
2001-06-25 14:09:25 PDT,+900
2001-06-25 14:09:26 PDT,+900
2001-06-25 14:09:27 PDT,+900
2001-06-25 14:09:28 PDT,+900
2001-06-25 14:09:29 PDT,+900
2001-06-25 14:09:30 PDT,+900
2001-06-25 14:09:31 PDT,+900
2001-06-25 14:09:32 PDT,+900
2001-06-25 14:09:33 PDT,+900
2001-06-25 14:09:34 PDT,+900
2001-06-25 14:09:35 PDT,+900
2001-06-25 14:09:36 PDT,+900
2001-06-25 14:09:37 PDT,+900
2001-06-25 14:09:38 PDT,+900
2001-06-25 14:09:39 PDT,+900
2001-06-25 14:09:40 PDT,+900
2001-06-25 14:09:41 PDT,+900
2001-06-25 14:09:42 PDT,+900
2001-06-25 14:09:43 PDT,+900
2001-06-25 14:09:44 PDT,+900
2001-06-25 14:09:45 PDT,+900
2001-06-25 14:09:46 PDT,+900
2001-06-25 14:09:47 PDT,+900
2001-06-25 14:09:48 PDT,+900
2001-06-25 14:09:49 PDT,+900
2001-06-25 14:09:50 PDT,+900
2001-06-25 14:09:51 PDT,+900
2001-06-25 14:09:52 PDT,+900
2001-06-25 14:09:53 PDT,+900
2001-06-25 14:09:54 PDT,+900
2001-06-25 14:09:55 PDT,+900
2001-06-25 14:09:56 PDT,+900
2001-06-25 14:09:57 PDT,+900
2001-06-25 14:09:58 PDT,+900
2001-06-25 14:09:59 PDT,+900
2001-06-25 14:10:00 PDT,+900
2001-06-25 14:10:01 PDT,+900
2001-06-25 14:10:02 PDT,+900
2001-06-25 14:10:03 PDT,+900
2001-06-25 14:10:04 PDT,+900
2001-06-25 14:10:05 PDT,+900
2001-06-25 14:10:06 PDT,+900
2001-06-25 14:10:07 PDT,+900
2001-06-25 14:10:08 PDT,+900
2001-06-25 14:10:09 PDT,+900
2001-06-25 14:10:10 PDT,+900
2001-06-25 14:10:11 PDT,+900
2001-06-25 14:10:12 PDT,+900
2001-06-25 14:10:13 PDT,+900
2001-06-25 14:10:14 PDT,+900
2001-06-25 14:10:15 PDT,+900
2001-06-25 14:10:16 PDT,+900
2001-06-25 14:10:17 PDT,+900
2001-06-25 14:10:18 PDT,+900
2001-06-25 14:10:19 PDT,+900
2001-06-25 14:10:20 PDT,+900
2001-06-25 14:10:21 PDT,+900
2001-06-25 14:10:22 PDT,+900
2001-06-25 14:10:23 PDT,+900
2001-06-25 14:10:24 PDT,+900
2001-06-25 14:10:25 PDT,+900
2001-06-25 14:10:26 PDT,+900
2001-06-25 14:10:27 PDT,+900
2001-06-25 14:10:28 PDT,+900
2001-06-25 14:10:29 PDT,+900
2001-06-25 14:10:30 PDT,+900
2001-06-25 14:10:31 PDT,+900
2001-06-25 14:10:32 PDT,+900
2001-06-25 14:10:33 PDT,+900
2001-06-25 14:10:34 PDT,+900
2001-06-25 14:10:35 PDT,+900
2001-06-25 14:10:36 PDT,+900
2001-06-25 14:10:37 PDT,+900
2001-06-25 14:10:38 PDT,+900
2001-06-25 14:10:39 PDT,+900
2001-06-25 14:10:40 PDT,+900
2001-06-25 14:10:41 PDT,+900
2001-06-25 14:10:42 PDT,+900
2001-06-25 14:10:43 PDT,+900
2001-06-25 14:10:44 PDT,+900
2001-06-25 14:10:45 PDT,+900
2001-06-25 14:10:46 PDT,+900
2001-06-25 14:10:47 PDT,+900
2001-06-25 14:10:48 PDT,+900
2001-06-25 14:10:49 PDT,+900
2001-06-25 14:10:50 PDT,+900
2001-06-25 14:10:51 PDT,+900
2001-06-25 14:10:52 PDT,+900
2001-06-25 14:10:53 PDT,+900
2001-06-25 14:10:54 PDT,+900
2001-06-25 14:10:55 PDT,+900
2001-06-25 14:10:56 PDT,+900
2001-06-25 14:10:57 PDT,+900
2001-06-25 14:10:58 PDT,+900
2001-06-25 14:10:59 PDT,+900
2001-06-25 14:11:00 PDT,+900
2001-06-25 14:11:01 PDT,+900
2001-06-25 14:11:02 PDT,+900
2001-06-25 14:11:03 PDT,+900
2001-06-25 14:11:04 PDT,+900
2001-06-25 14:11:05 PDT,+900
2001-06-25 14:11:06 PDT,+900
2001-06-25 14:11:07 PDT,+900
2001-06-25 14:11:08 PDT,+900
2001-06-25 14:11:09 PDT,+900
2001-06-25 14:11:10 PDT,+900
2001-06-25 14:11:11 PDT,+900
2001-06-25 14:11:12 PDT,+900
2001-06-25 14:11:13 PDT,+900
2001-06-25 14:11:14 PDT,+900
2001-06-25 14:11:15 PDT,+900
